ref_id,url,description,method_count
22,https://github.com/apache/flink/commit/21403e31f4761bdddf5e4e802e0e5eb9b4533202,Extract And Move Method public isQueryHint(hintName String) : boolean extracted from public visit(other RelNode) : RelNode in class org.apache.flink.table.planner.hint.ClearJoinHintsOnUnmatchedNodesShuttle & moved to class org.apache.flink.table.planner.hint.FlinkHints,1
23,https://github.com/apache/flink/commit/6afe98daf6190a77a67a1fa8ac8f12337a75f8e7,"Extract And Move Method public createWriter(context WriterInitContext) : SinkWriter<InputT> extracted from public createWriter(initContext InitContext, context StateInitializationContext) : SinkWriter<InputT> in class org.apache.flink.streaming.runtime.operators.sink.StatefulSinkWriterStateHandler & moved to class org.apache.flink.api.connector.sink2.Sink",2
23,https://github.com/apache/flink/commit/40cbf231e3dc15129b69136941adc15beebe8ef6,"Extract And Move Method public createWriter(context WriterInitContext) : SinkWriter<InputT> extracted from public createWriter(initContext InitContext, context StateInitializationContext) : SinkWriter<InputT> in class org.apache.flink.streaming.runtime.operators.sink.StatefulSinkWriterStateHandler & moved to class org.apache.flink.api.connector.sink2.Sink",2
24,https://github.com/apache/flink/commit/1f7622d4d23bfcb76f466469ec36585054864f04,"Extract And Move Method public convertConfigToWritableLines(configuration Configuration, flattenYaml boolean) : List<String> extracted from public appendConfiguration(config Configuration) : void in class org.apache.flink.tests.util.flink.FlinkDistribution & moved to class org.apache.flink.configuration.ConfigurationUtils",24
25,https://github.com/apache/flink/commit/1f7622d4d23bfcb76f466469ec36585054864f04,"Extract And Move Method public convertConfigToWritableLines(configuration Configuration, flattenYaml boolean) : List<String> extracted from private createTemporaryFlinkConfFile(finalConfiguration Configuration, tempDirectory Path) : Path in class org.apache.flink.connector.testframe.container.FlinkImageBuilder & moved to class org.apache.flink.configuration.ConfigurationUtils",21
26,https://github.com/apache/flink/commit/9a22ff7e961cb5d8b52401e567e59954bff35d50,"Extract And Move Method public accept(stateWindowResult W, stateWindowsToBeMerged Collection<W>) : void extracted from public merge(mergeResult W, mergedWindows Collection<W>, stateWindowResult W, stateWindowsToBeMerged Collection<W>) : void in class org.apache.flink.table.runtime.operators.window.groupwindow.internal.MergingWindowProcessFunction.MergingFunctionImpl & moved to class org.apache.flink.table.runtime.operators.window.groupwindow.internal.MergingWindowProcessFunction.DefaultAccMergingConsumer",6
27,https://github.com/apache/flink/commit/84444d5071984a8543a81574dc69c0c9849a8a4a,Extract And Move Method public createSerializer(config SerializerConfig) : TypeSerializer<T> extracted from public initializeSerializerUnlessSet(executionConfig ExecutionConfig) : void in class org.apache.flink.api.common.state.StateDescriptor & moved to class org.apache.flink.api.common.typeinfo.TypeInformation,19
28,https://github.com/apache/flink/commit/f32b2a9e347d7539819a88252e4e32deba247515,"Extract And Move Method public getOneInputOperatorDefaultMeta(stateTtlFromHint Long, tableConfig ReadableConfig, stateName String) : List<StateMetadata> extracted from public StreamExecGlobalGroupAggregate(tableConfig ReadableConfig, grouping int[], aggCalls AggregateCall[], aggCallNeedRetractions boolean[], localAggInputRowType RowType, generateUpdateBefore boolean, needRetraction boolean, indexOfCountStar Integer, inputProperty InputProperty, outputType RowType, description String) in class org.apache.flink.table.planner.plan.nodes.exec.stream.StreamExecGlobalGroupAggregate & moved to class org.apache.flink.table.planner.plan.nodes.exec.StateMetadata",2
29,https://github.com/apache/flink/commit/f32b2a9e347d7539819a88252e4e32deba247515,"Extract And Move Method public getOneInputOperatorDefaultMeta(stateTtlFromHint Long, tableConfig ReadableConfig, stateName String) : List<StateMetadata> extracted from public StreamExecGroupAggregate(tableConfig ReadableConfig, grouping int[], aggCalls AggregateCall[], aggCallNeedRetractions boolean[], generateUpdateBefore boolean, needRetraction boolean, inputProperty InputProperty, outputType RowType, description String) in class org.apache.flink.table.planner.plan.nodes.exec.stream.StreamExecGroupAggregate & moved to class org.apache.flink.table.planner.plan.nodes.exec.StateMetadata",1
30,https://github.com/apache/flink/commit/f32b2a9e347d7539819a88252e4e32deba247515,"Extract And Move Method public getOneInputOperatorDefaultMeta(stateTtlFromHint Long, tableConfig ReadableConfig, stateName String) : List<StateMetadata> extracted from public StreamExecIncrementalGroupAggregate(tableConfig ReadableConfig, partialAggGrouping int[], finalAggGrouping int[], partialOriginalAggCalls AggregateCall[], partialAggCallNeedRetractions boolean[], partialLocalAggInputType RowType, partialAggNeedRetraction boolean, inputProperty InputProperty, outputType RowType, description String) in class org.apache.flink.table.planner.plan.nodes.exec.stream.StreamExecIncrementalGroupAggregate & moved to class org.apache.flink.table.planner.plan.nodes.exec.StateMetadata",2
31,https://github.com/apache/flink/commit/cd9a9f76cbc3a288abd49ba12c0edba3ce208ec7,"Extract And Move Method public of(environment Environment) : SubtaskKey extracted from public FsMergingCheckpointStorageAccess(fs FileSystem, checkpointBaseDirectory Path, defaultSavepointDirectory Path, jobId JobID, fileSizeThreshold int, writeBufferSize int, fileMergingSnapshotManager FileMergingSnapshotManager, environment Environment) in class org.apache.flink.runtime.state.filesystem.FsMergingCheckpointStorageAccess & moved to class org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManager.SubtaskKey",2
32,https://github.com/apache/flink/commit/21306f4f5dbcc72a2cde2f15e6c072951aa03f49,Extract And Move Method private deleteBaseDirectory(baseDirectory String) : void extracted from public close() : void in class org.apache.flink.python.env.AbstractPythonEnvironmentManager.PythonLeasedResource & moved to class org.apache.flink.python.env.AbstractPythonEnvironmentManager,17
33,https://github.com/apache/flink/commit/2e257896661ad5e0dca521fa274cad3a0bae7a61,"Extract And Move Method public getMinBuffersPerGate() : int extracted from public createGateBuffersSpec(configuredMaxRequiredBuffersPerGate Optional<Integer>, configuredNetworkBuffersPerChannel int, configuredFloatingNetworkBuffersPerGate int, partitionType ResultPartitionType, numInputChannels int, enableTieredStorage boolean) : GateBuffersSpec in class org.apache.flink.runtime.io.network.partition.consumer.InputGateSpecUtils & moved to class org.apache.flink.runtime.io.network.partition.hybrid.tiered.common.TieredStorageConfiguration",5
34,https://github.com/apache/flink/commit/88138d08e731d3084d59bf14cc2fb51bdf4afbd8,Extract And Move Method public builder() : TestingBufferPool.Builder extracted from package testOnUpstreamBlockedAndResumed() : void in class org.apache.flink.runtime.io.network.partition.consumer.RemoteInputChannelTest & moved to class org.apache.flink.runtime.io.network.buffer.TestingBufferPool,73
35,https://github.com/apache/flink/commit/88138d08e731d3084d59bf14cc2fb51bdf4afbd8,Extract And Move Method public builder() : TestingBufferPool.Builder extracted from package testRequestBuffer() : void in class org.apache.flink.runtime.io.network.partition.consumer.RemoteInputChannelTest & moved to class org.apache.flink.runtime.io.network.buffer.TestingBufferPool,73
36,https://github.com/apache/flink/commit/ed75795e97800177cb67141ab838632d5ec55bb5,"Extract And Move Method public isLocalRecoveryOrLocalBackupEnabled() : boolean extracted from public localStateStoreForSubtask(jobId JobID, allocationID AllocationID, jobVertexID JobVertexID, subtaskIndex int, clusterConfiguration Configuration, jobConfiguration Configuration) : TaskLocalStateStore in class org.apache.flink.runtime.state.TaskExecutorLocalStateStoresManager & moved to class org.apache.flink.runtime.state.LocalRecoveryConfig",14
37,https://github.com/apache/flink/commit/294084872604d599c1e2c52302ce0f08bb0e6492,"Extract And Move Method public handleRequest(state State, type StateRequestType, payload IN) : InternalStateFuture<OUT> extracted from public asyncClear() : StateFuture<Void> in class org.apache.flink.runtime.taskprocessing.AsyncExecutionControllerTest.TestValueState & moved to class org.apache.flink.runtime.asyncprocessing.AsyncExecutionController",14
38,https://github.com/apache/flink/commit/294084872604d599c1e2c52302ce0f08bb0e6492,"Extract And Move Method public handleRequest(state State, type StateRequestType, payload IN) : InternalStateFuture<OUT> extracted from public asyncValue() : StateFuture<Integer> in class org.apache.flink.runtime.taskprocessing.AsyncExecutionControllerTest.TestValueState & moved to class org.apache.flink.runtime.asyncprocessing.AsyncExecutionController",14
39,https://github.com/apache/flink/commit/b3fdb07c04114c515cfc5893e89528bbfb4384ed,"Extract And Move Method public getFileFromTargetDir(cls Class<?>, fileFilter Predicate<Path>) : File extracted from private getFlinkClientsJar() : File in class org.apache.flink.client.program.artifact.ArtifactFetchManagerTest & moved to class org.apache.flink.testutils.TestingUtils",15
40,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public valueIsNull() : boolean extracted from public process() : CompletableFuture<Void> in class org.apache.flink.state.forst.ForStWriteBatchOperation & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
41,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public getColumnFamilyHandle() : ColumnFamilyHandle extracted from public process() : CompletableFuture<Void> in class org.apache.flink.state.forst.ForStWriteBatchOperation & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
42,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public getColumnFamilyHandle() : ColumnFamilyHandle extracted from public testValueStateWriteBatch() : void in class org.apache.flink.state.forst.ForStWriteBatchOperationTest & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
43,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public getColumnFamilyHandle() : ColumnFamilyHandle extracted from public testWriteBatchWithNullValue() : void in class org.apache.flink.state.forst.ForStWriteBatchOperationTest & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
44,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public buildSerializedKey() : byte[] extracted from public process() : CompletableFuture<Void> in class org.apache.flink.state.forst.ForStWriteBatchOperation & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
45,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public buildSerializedKey() : byte[] extracted from public testValueStateWriteBatch() : void in class org.apache.flink.state.forst.ForStWriteBatchOperationTest & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
46,https://github.com/apache/flink/commit/88f6d069784355a516ba3b94ef780597dca1adf4,Extract And Move Method public buildSerializedKey() : byte[] extracted from public testWriteBatchWithNullValue() : void in class org.apache.flink.state.forst.ForStWriteBatchOperationTest & moved to class org.apache.flink.state.forst.ForStDBPutRequest,2
47,https://github.com/apache/flink/commit/bb0f4429598db703e69d951986291862cbd5416b,"Extract And Move Method public unchecked(functionWithException FunctionWithException<A,B,?>) : Function<A,B> extracted from public thenApply(fn Function<? super T,? extends U>) : StateFuture<U> in class org.apache.flink.core.state.StateFutureImpl & moved to class org.apache.flink.util.function.FunctionWithException",12
48,https://github.com/apache/flink/commit/bb0f4429598db703e69d951986291862cbd5416b,"Extract And Move Method public unchecked(functionWithException FunctionWithException<A,B,?>) : Function<A,B> extracted from public thenCompose(action Function<? super T,? extends StateFuture<U>>) : StateFuture<U> in class org.apache.flink.core.state.StateFutureImpl & moved to class org.apache.flink.util.function.FunctionWithException",12
49,https://github.com/apache/flink/commit/bb0f4429598db703e69d951986291862cbd5416b,"Extract And Move Method public unchecked(throwingConsumer ThrowingConsumer<A,?>) : Consumer<A> extracted from public thenAccept(action Consumer<? super T>) : StateFuture<Void> in class org.apache.flink.core.state.StateFutureImpl & moved to class org.apache.flink.util.function.ThrowingConsumer",12
50,https://github.com/apache/flink/commit/3d40bd7dd197b12b7b156bd758b4129148e885d1,"Extract And Move Method private rewrite(rewriter TokenStreamRewriter) : Map<String,List<String>> extracted from public rewrite(context String) : RewriteGroupedCode in class org.apache.flink.table.codesplit.BlockStatementGrouper & moved to class org.apache.flink.table.codesplit.BlockStatementGrouper.BlockStatementGrouperVisitor",22
51,https://github.com/apache/flink/commit/b8173eb662ee5823de40de356869d0064de2c22a,"Extract And Move Method public setDynamicParallelism(parallelism int) : void extracted from private changeJobVertexParallelism(jobVertex ExecutionJobVertex, parallelism int) : void in class org.apache.flink.runtime.scheduler.adaptivebatch.AdaptiveBatchScheduler & moved to class org.apache.flink.runtime.jobgraph.JobVertex",28
52,https://github.com/apache/flink/commit/32b563dd29c5b08e4574773815c014c1c0cca12e,"Extract And Move Method public addPartitionAndGetShuffleDescriptor(jobID JobID, resultPartitionID ResultPartitionID) : TierShuffleDescriptor extracted from package testAddAndReleasePartition() : void in class org.apache.flink.runtime.io.network.partition.hybrid.tiered.tier.remote.RemoteTierMasterAgentTest & moved to class org.apache.flink.runtime.io.network.partition.hybrid.tiered.tier.remote.RemoteTierMasterAgent",1
53,https://github.com/apache/flink/commit/d0f9bb40a614c3c52c7abc9e608391e4bca9a3ca,"Extract And Move Method public getDistributionFromSqlDistribution(distribution SqlDistribution) : TableDistribution extracted from private mergeDistribution(sourceTableDistribution Optional<TableDistribution>, sqlCreateTable SqlCreateTable, mergingStrategies Map<SqlTableLike.FeatureOption,SqlTableLike.MergingStrategy>) : Optional<TableDistribution> in class org.apache.flink.table.planner.operations.SqlCreateTableConverter & moved to class org.apache.flink.table.planner.utils.OperationConverterUtils",8
54,https://github.com/apache/flink/commit/7f1399561b3ff303ea48ec0b93eef79eaaf3e4c8,"Extract And Move Method public scheduleOperation(callback Runnable, delay Duration) : void extracted from private rescaleWhenCooldownPeriodIsOver() : void in class org.apache.flink.runtime.scheduler.adaptive.Executing & moved to class org.apache.flink.runtime.scheduler.adaptive.Executing",19
55,https://github.com/apache/flink/commit/02d89caede088d334daf13fb26103aaec6d3ac19,"Extract And Move Method public create(inputActivityClock RelativeClock) : TimestampsAndWatermarksContext extracted from public createProgressiveEventTimeLogic(watermarkStrategy WatermarkStrategy<E>, metrics MetricGroup, timeService ProcessingTimeService, periodicWatermarkIntervalMillis long) : TimestampsAndWatermarks<E> in class org.apache.flink.streaming.api.operators.source.TimestampsAndWatermarks & moved to class org.apache.flink.streaming.api.operators.source.TimestampsAndWatermarks.TimestampsAndWatermarksContextProvider",9
56,https://github.com/apache/flink/commit/e8c1d1b9d411e17130a57851c0bbaecb2e816048,"Extract And Move Method public getRegexpMatcher(str StringData, regex StringData) : Matcher extracted from public eval(str StringData, regex StringData) : Integer in class org.apache.flink.table.runtime.functions.scalar.RegexpCountFunction & moved to class org.apache.flink.table.runtime.functions.SqlFunctionUtils",1
57,https://github.com/apache/flink/commit/e8c1d1b9d411e17130a57851c0bbaecb2e816048,"Extract And Move Method public getRegexpMatcher(str StringData, regex StringData) : Matcher extracted from public eval(str StringData, regex StringData, extractIndex Number) : ArrayData in class org.apache.flink.table.runtime.functions.scalar.RegexpExtractAllFunction & moved to class org.apache.flink.table.runtime.functions.SqlFunctionUtils",2
58,https://github.com/apache/flink/commit/e8c1d1b9d411e17130a57851c0bbaecb2e816048,"Extract And Move Method public getRegexpMatcher(str StringData, regex StringData) : Matcher extracted from public eval(str StringData, regex StringData) : Integer in class org.apache.flink.table.runtime.functions.scalar.RegexpInstrFunction & moved to class org.apache.flink.table.runtime.functions.SqlFunctionUtils",1
566,https://github.com/apache/kafka/commit/5bc3aa428067dff1f2b9075ff5d1351fb05d4b10,Extract And Move Method public flush(accessor DBAccessor) : void extracted from public flush() : void in class org.apache.kafka.streams.state.internals.RocksDBStore & moved to class org.apache.kafka.streams.state.internals.RocksDBStore.SingleColumnFamilyAccessor,73
567,https://github.com/apache/kafka/commit/e45e032b8d90435de2f338f77a732c88f8cca66e,Extract And Move Method public maybeThrowAsyncError() : void extracted from private deliverMessages() : void in class org.apache.kafka.connect.runtime.WorkerSinkTask & moved to class org.apache.kafka.connect.runtime.errors.WorkerErrantRecordReporter,53
568,https://github.com/apache/kafka/commit/e7fa0edd6351c0949b9082c626597046e9def854,"Extract And Move Method public getOrMaybeCreateGroup(groupType Group.GroupType, groupId String) : Group extracted from public testDeleteGroupAllOffsets(groupType Group.GroupType) : void in class org.apache.kafka.coordinator.group.OffsetMetadataManagerTest & moved to class org.apache.kafka.coordinator.group.OffsetMetadataManagerTest.OffsetMetadataManagerTestContext",87
569,https://github.com/apache/kafka/commit/0472db2cd39d4f53c3855063117bdae15f4d0d86,"Extract And Move Method public combineFutures(futures List<CompletableFuture<T>>, init Supplier<T>, add BiConsumer<T,T>) : CompletableFuture<T> extracted from public consumerGroupDescribe(context RequestContext, groupIds List<String>) : CompletableFuture<List<ConsumerGroupDescribeResponseData.DescribedGroup>> in class org.apache.kafka.coordinator.group.GroupCoordinatorService & moved to class org.apache.kafka.server.util.FutureUtils",35
570,https://github.com/apache/kafka/commit/0472db2cd39d4f53c3855063117bdae15f4d0d86,"Extract And Move Method public combineFutures(futures List<CompletableFuture<T>>, init Supplier<T>, add BiConsumer<T,T>) : CompletableFuture<T> extracted from public describeGroups(context RequestContext, groupIds List<String>) : CompletableFuture<List<DescribeGroupsResponseData.DescribedGroup>> in class org.apache.kafka.coordinator.group.GroupCoordinatorService & moved to class org.apache.kafka.server.util.FutureUtils",35
571,https://github.com/apache/kafka/commit/0472db2cd39d4f53c3855063117bdae15f4d0d86,"Extract And Move Method public combineFutures(futures List<CompletableFuture<T>>, init Supplier<T>, add BiConsumer<T,T>) : CompletableFuture<T> extracted from public deleteGroups(context RequestContext, groupIds List<String>, bufferSupplier BufferSupplier) : CompletableFuture<DeleteGroupsResponseData.DeletableGroupResultCollection> in class org.apache.kafka.coordinator.group.GroupCoordinatorService & moved to class org.apache.kafka.server.util.FutureUtils",35
572,https://github.com/apache/kafka/commit/4f0a40590833a141c78341ce95ffc782747c5ac8,"Extract And Move Method public tasksMax() : int extracted from public connectorTaskConfigs(connName String, connConfig ConnectorConfig) : List<Map<String,String>> in class org.apache.kafka.connect.runtime.Worker & moved to class org.apache.kafka.connect.runtime.ConnectorConfig",89
573,https://github.com/apache/kafka/commit/d24abe0edebad37e554adea47408c3063037f744,"Extract And Move Method public assertNoOrEmptyResult(timeouts List<MockCoordinatorTimer.ExpiredTimeout<Void,Record>>) : void extracted from public testLastJoiningMembersAreKickedOutWhenRejoiningGroupWithMaxSize() : void in class org.apache.kafka.coordinator.group.GroupMetadataManagerTest & moved to class org.apache.kafka.coordinator.group.GroupMetadataManagerTestContext",267
574,https://github.com/apache/kafka/commit/7dbdc15c668dfb5a4a91c79f339c22fb7178c368,Extract And Move Method public maybeCheckpoint() : void extracted from package pollAndUpdate() : void in class org.apache.kafka.streams.processor.internals.GlobalStreamThread.StateConsumer & moved to class org.apache.kafka.streams.processor.internals.GlobalStateUpdateTask,21
575,https://github.com/apache/kafka/commit/b6183a41342c765daec9c88f9d2723a221131960,Extract And Move Method public fromArgs(args String[]) : ConsumerGroupCommandOptions extracted from public testDescribeGroupCliWithGroupDescribe(quorum String) : void in class org.apache.kafka.tools.consumer.group.AuthorizerIntegrationTest & moved to class org.apache.kafka.tools.consumer.group.ConsumerGroupCommandOptions,2
